Constituency,District Names,Factory Count,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,Avg ADI
JHALAWAR-BARAN,jhalawar,16,RAJASTHAN,GEN,24.6,0,1,1,0,0,0,3620000000,1,0,7,2,10
JHANJHARPUR,,,BIHAR,GEN,5.9,1,1,1,0,0,0,0,1,0,1,0,9
JHANSI,jhansi,1,UTTAR PRADESH,GEN,14.4,1,1,0,0,0,0,0,1,0,2,0,10
JHARGRAM,,,WEST BENGAL,ST,27.7,0,0,1,0,0,0,3730000000,1,0,36,0,13
JHUNJHUNU,jhunjhunu,3,RAJASTHAN,GEN,23.2,0,1,1,0,0,0,6960000000,1,0,4,1,16
JODHPUR,jodhpur,2,RAJASTHAN,GEN,38,0,1,1,0,1,0,32790000000,0,0,49,0,9
JORHAT,jorhat,11,ASSAM,GEN,11,0,1,0,0,0,0,200000000,1,0,7,0,15
JUNAGADH,junagadh,2,GUJARAT,GEN,14.4,0,1,1,0,0,0,40000000,1,0,5,0,15
KACHCHH,"kutch, KACHCHH ",3,GUJARAT,SC,26.9,0,1,1,0,0,0,10690000000,1,0,194,6,17
KADAPA,kadapa,1,ANDHRA PRADESH,GEN,15.9,0,0,0,0,1,0,270000000,0,1,11,0,8
KAIRANA,,,UTTAR PRADESH,GEN,21.2,0,1,0,0,0,0,230000000,1,0,32,0,14
KAISERGANJ,,,UTTAR PRADESH,GEN,8.3,0,1,0,0,1,0,130000000,0,0,5,0,8
KAKINADA,kakinada,2,ANDHRA PRADESH,GEN,0.3,0,1,1,0,0,0,2350000000,1,0,357,3,15
KALAHANDI,,,ODISHA,GEN,5,0,0,1,0,1,0,900000000,0,0,0,0,7
KALIABOR,,,ASSAM,GEN,8,0,0,1,0,0,0,200000000,1,0,6,0,12
KALLAKURICHI,,,TAMIL NADU,GEN,20.2,0,0,1,0,0,0,1660000000,1,0,45,1,16
KALYAN,,,MAHARASHTRA,GEN,30.4,0,1,1,0,0,0,18690000000,1,0,335,14,17
KANCHEEPURAM,"kanchipuram, KANCHEEPURAM ",23,TAMIL NADU,SC,13,0,0,1,0,0,0,740000000,1,0,130,0,18
KANDHAMAL,,,ODISHA,GEN,21.6,0,0,1,0,1,0,1180000000,0,0,8,0,8
KANGRA,kangra,127,HIMACHAL PRADESH,GEN,21.3,0,1,0,0,1,0,170000000,0,0,247,0,16
KANKER,,,CHHATTISGARH,ST,3.5,0,1,1,0,1,0,8070000000,0,0,26,1,11
KANNAUJ,,,UTTAR PRADESH,GEN,1.8,0,0,1,0,0,0,3180000000,1,0,8,1,10
KANNIYAKUMARI,"kanyakumari, KANNIYAKUMARI ",21,TAMIL NADU,GEN,13,0,1,0,0,0,0,690000000,1,0,26,0,18
KANNUR,kannur,244,KERALA,GEN,0.7,0,0,0,0,0,0,220000000,1,1,1,0,16
KANPUR,"kanpur, kanpur dehat , kanpur nagar ",11,UTTAR PRADESH,GEN,26.7,0,1,0,0,0,0,3820000000,1,0,21,3,18
KANTHI,,,WEST BENGAL,GEN,17.8,0,0,1,0,0,0,0,1,0,0,0,14
KARAKAT,,,BIHAR,GEN,13.3,1,1,0,0,1,0,0,0,0,248,10,9
KARAULI-DHOLPUR,,,RAJASTHAN,SC,3.2,0,1,1,0,1,0,0,0,0,0,0,12
KARIMGANJ,,,ASSAM,SC,11.5,0,0,0,0,1,0,0,0,1,1,0,9
KARIMNAGAR,karimnagar,2,TELANGANA,GEN,18.2,0,0,1,0,0,0,13180000000,1,0,29,2,14
KARNAL,karnal,32,HARYANA,GEN,30.2,0,1,1,0,0,0,1400000000,1,0,12,0,16
KARUR,karur,6,TAMIL NADU,GEN,18.7,0,0,1,0,0,0,5030000000,1,0,37,3,16
KASARAGOD,,,KERALA,GEN,0.7,0,0,0,0,0,0,220000000,1,1,1,0,16
KATIHAR,,,BIHAR,GEN,11.7,0,0,0,0,1,0,0,0,1,0,0,8
KAUSHAMBI,,,UTTAR PRADESH,SC,4.7,0,1,0,0,0,0,70000000,1,0,0,0,9
KENDRAPARA,,,ODISHA,GEN,18.3,0,0,1,0,0,0,2820000000,1,0,4,0,12
KEONJHAR,"kendujhar, KEONJHAR ",6,ODISHA,ST,14.5,0,0,1,0,0,0,410000000,1,0,41,0,8
KHADOOR SAHIB,,,PUNJAB,GEN,9.7,0,1,1,0,1,0,1740000000,0,0,18,0,17
KHAGARIA,,,BIHAR,GEN,8.5,0,1,0,0,1,0,0,0,0,1,0,8
KHAJURAHO,,,MADHYA PRADESH,GEN,28.3,0,1,1,0,1,0,520000000,0,0,7,0,10
KHAMMAM,khammam,38,TELANGANA,GEN,1,0,0,0,0,1,0,1180000000,0,1,20,3,15
KHANDWA,,,MADHYA PRADESH,GEN,20.7,0,1,1,0,1,0,4120000000,0,0,24,4,12
KHARGONE,,,MADHYA PRADESH,ST,22.4,0,1,1,0,1,0,540000000,0,0,9,1,9
KHEDA,kheda,1,GUJARAT,GEN,24.4,0,1,1,1,0,1,89080000000,1,0,372,35,16
KHERI,,,UTTAR PRADESH,GEN,10.2,0,1,0,0,0,0,0,1,0,0,0,7
KHUNTI,khunti,36,JHARKHAND,ST,12.5,0,1,1,0,1,0,1080000000,0,0,66,0,9
KISHANGANJ,,,BIHAR,GEN,21,0,0,0,0,1,0,0,0,1,0,0,8
KODARMA,,,JHARKHAND,GEN,9.6,0,1,1,0,1,0,800000000,0,0,4,0,9
KOKRAJHAR,,,ASSAM,ST,29.1,0,0,0,0,1,0,880000000,0,1,11,0,11
KOLAR,kolar,1,KARNATAKA,SC,4.2,0,0,1,0,0,0,640000000,1,0,29,1,16
KOLHAPUR,kolhapur,10,MAHARASHTRA,GEN,2.6,0,0,0,0,0,0,1910000000,1,1,54,1,18
KOLKATA DAKSHIN,"kolkata, KOLKATA DAKSHIN ",28,WEST BENGAL,GEN,11.7,0,0,1,0,0,0,71540000000,1,0,213,35,16
KOLKATA UTTAR,"kolkata, KOLKATA UTTAR ",27,WEST BENGAL,GEN,10.1,0,0,1,0,0,0,70450000000,1,0,197,34,18
KOLLAM,,,KERALA,GEN,4.3,0,0,0,0,0,0,150000000,1,1,0,0,14
KOPPAL,koppal,198,KARNATAKA,GEN,3.2,0,1,0,0,0,0,4100000000,1,0,35,3,13
KORAPUT,koraput,2,ODISHA,ST,2,0,0,1,0,1,0,4880000000,0,0,3,0,8
KORBA,korba,1,CHHATTISGARH,GEN,0.4,0,1,1,0,1,0,23120000000,0,0,41,2,13
KOTA,kota,1,RAJASTHAN,GEN,17.4,0,1,1,0,0,0,5360000000,1,0,13,2,14
KOTTAYAM,kottayam,1,KERALA,GEN,14.5,0,0,0,0,0,0,21410000000,1,1,29,8,16
KOZHIKODE,"krishnagiri, krisnagiri ",86,KERALA,GEN,1.8,0,0,1,0,0,0,340000000,1,0,0,0,16
KRISHNAGIRI,,,TAMIL NADU,GEN,19.3,0,0,1,0,0,0,1060000000,1,0,59,3,13
KRISHNANAGAR,,,WEST BENGAL,GEN,5.7,0,0,1,0,1,0,1670000000,0,0,2,0,11
KURNOOL,kurnool,3,ANDHRA PRADESH,GEN,4.1,0,0,0,0,0,0,4190000000,1,1,37,3,15
KURUKSHETRA,,,HARYANA,GEN,11.4,0,1,1,0,0,0,830000000,1,0,2,0,17
KUSHI NAGAR,"kushinagar, KUSHI NAGAR ",1,UTTAR PRADESH,GEN,9,0,1,0,0,0,0,0,1,0,3,0,10
LADAKH,alchi (leh dist),15,JAMMU AND KASHMIR,GEN,0,0,1,0,0,0,0,230000000,1,0,0,0,16
LAKHIMPUR,"lakhimpur, lakhimpur kheri ",172,ASSAM,GEN,26.3,1,1,0,0,0,0,16940000000,1,0,16,3,13
LAKSHADWEEP,,,LAKSHADWEEP,ST,3.6,0,0,0,0,0,0,0,1,1,0,0,16
LALGANJ,,,UTTAR PRADESH,SC,7,0,1,0,0,0,0,0,1,0,0,0,11
LATUR,latur,1,MAHARASHTRA,SC,24,0,1,1,0,1,0,3040000000,0,0,9,0,14
LOHARDAGA,lohardaga,1,JHARKHAND,ST,1,1,1,1,0,1,1,830000000,0,0,48,0,7
LUCKNOW,lucknow,1,UTTAR PRADESH,GEN,26.4,1,1,0,0,0,1,3480000000,1,0,39,3,16
LUDHIANA,ludhiana,39,PUNJAB,GEN,1.8,0,0,0,0,0,0,7260000000,1,1,60,8,18
MACHHLISHAHR,,,UTTAR PRADESH,SC,17.3,0,1,0,0,0,0,4500000000,1,0,19,2,13
MACHILIPATNAM,,,ANDHRA PRADESH,GEN,7.1,0,1,0,1,0,0,6760000000,1,0,27,1,17
MADHA,,,MAHARASHTRA,GEN,2.3,0,0,0,0,0,0,2710000000,1,1,94,4,16
MADHEPURA,,,BIHAR,GEN,5.4,0,0,0,0,0,0,0,1,1,0,0,8
MADHUBANI,madhubani,60,BIHAR,GEN,2.4,0,1,1,0,0,0,0,1,0,1,0,8
MADURAI,madurai,1,TAMIL NADU,GEN,20.2,0,0,1,0,0,0,2580000000,1,0,19,2,18
MAHABUBABAD,mahabubnagar,20,TELANGANA,ST,3.1,0,0,1,0,1,0,1180000000,0,0,20,3,14
MAHARAJGANJ,,,BIHAR,GEN,4.5,0,1,1,0,0,0,270000000,1,0,0,0,10
MAHARAJGANJ,,,UTTAR PRADESH,GEN,22.8,0,1,0,0,0,0,0,1,0,0,0,10
MAHASAMUND,,,CHHATTISGARH,GEN,0.1,0,1,1,0,1,0,11010000000,0,0,36,0,11
MAHBUBNAGAR,,,TELANGANA,GEN,0.3,0,0,1,0,0,0,1730000000,1,0,18,1,14
MAHESANA,"mehsana, MAHESANA ",13,GUJARAT,GEN,20.8,0,1,1,0,0,0,3740000000,1,0,109,4,17
MAINPURI,,,UTTAR PRADESH,GEN,36.5,0,0,1,0,0,0,0,1,0,0,0,10
MALAPPURAM,,,KERALA,GEN,22.8,0,0,0,0,0,0,0,1,1,0,0,16
MALDAHA DAKSHIN,,,WEST BENGAL,GEN,15,0,0,0,0,1,0,470000000,0,1,1,0,10
MALDAHA UTTAR,,,WEST BENGAL,GEN,5.6,0,0,0,0,1,0,0,0,1,0,0,10
MALKAJGIRI,,,TELANGANA,GEN,1.8,0,1,0,0,0,0,34200000000,1,0,273,27,18
MANDI,mandi,6,HIMACHAL PRADESH,GEN,5.5,0,1,0,0,1,0,390000000,0,0,19,0,17
MANDLA,"mandal, MANDLA ",1,MADHYA PRADESH,ST,9.1,0,1,1,0,0,0,1050000000,1,0,9,0,9
MANDSOUR,"mandsaur, MANDSOUR ",1,MADHYA PRADESH,GEN,26.1,0,1,1,0,0,0,400000000,1,0,11,0,11
MANDYA,mandya,2,KARNATAKA,GEN,0.5,0,0,0,0,0,0,830000000,1,1,89,0,16
MANGALDOI,,,ASSAM,GEN,1.9,0,1,0,0,1,0,4340000000,0,0,87,0,13
MATHURA,mathura,7,UTTAR PRADESH,GEN,30.7,0,1,0,0,0,0,1040000000,1,0,7,1,12
MATHURAPUR,,,WEST BENGAL,SC,10.9,0,0,1,0,0,0,240000000,1,0,38,0,18
MAVAL,,,MAHARASHTRA,GEN,13.4,0,1,1,0,0,0,177470000000,1,0,1411,56,14
MAVELIKKARA,,,KERALA,SC,3.7,0,0,1,0,0,0,4900000000,1,0,15,2,15
MAYILADUTHURAI,,,TAMIL NADU,GEN,27,0,0,1,0,0,0,5840000000,1,0,9,1,16
MAYURBHANJ,mayurbhanj,1,ODISHA,ST,11.7,0,0,1,0,0,0,410000000,1,0,3,0,7
MEDAK,medak,3,TELANGANA,GEN,33.3,0,0,1,0,0,0,3500000000,1,0,110,3,15
MEDINIPUR,,,WEST BENGAL,GEN,14.7,0,0,1,0,0,0,0,1,0,29,0,14
MEERUT,meerut,114,UTTAR PRADESH,GEN,20.9,0,1,0,0,0,0,1380000000,1,0,146,3,17
MIRZAPUR,,,UTTAR PRADESH,GEN,21.7,0,1,0,0,0,0,0,1,0,0,0,11
MISRIKH,,,UTTAR PRADESH,SC,8.8,0,1,0,0,0,0,4510000000,1,0,33,3,11
MIZORAM,,,MIZORAM,ST,1.4,0,0,1,0,1,0,830000000,0,0,0,0,15
MOHANLALGANJ,,,UTTAR PRADESH,SC,13,0,1,0,0,0,0,4110000000,1,0,51,3,11
MORADABAD,moradabad,1,UTTAR PRADESH,GEN,7.8,0,1,0,0,0,0,1250000000,1,0,20,1,11
MORENA,morena,1,MADHYA PRADESH,GEN,15.6,0,1,1,0,0,0,440000000,1,0,8,0,8
MUMBAI NORTH,"mumbai, MUMBAI NORTH ",30,MAHARASHTRA,GEN,47.2,0,1,1,0,0,0,330000000,1,0,166,40,18
MUMBAI NORTH CENTRAL,"mumbai city, MUMBAI NORTH CENTRAL ",31,MAHARASHTRA,GEN,22.1,0,1,1,0,0,0,330000000,1,0,166,40,18
MUMBAI NORTH EAST,"mumbai suburban, MUMBAI NORTH EAST ",30,MAHARASHTRA,GEN,36.8,0,1,1,0,0,0,330000000,1,0,166,40,18
MUMBAI NORTH WEST,"mumbai, MUMBAI NORTH WEST ",30,MAHARASHTRA,GEN,20.4,0,1,1,0,0,0,330000000,1,0,166,40,18
MUMBAI SOUTH,"mumbai, MUMBAI SOUTH ",30,MAHARASHTRA,GEN,16.4,0,1,1,1,0,1,34560000000,1,0,176,49,18
MUMBAI SOUTH CENTRAL,"mumbai, MUMBAI SOUTH CENTRAL ",30,MAHARASHTRA,GEN,18,0,1,1,1,0,1,34560000000,1,0,176,49,18
MUNGER,munger,4,BIHAR,GEN,11.9,0,1,0,1,0,1,2430000000,1,0,36,2,11
MURSHIDABAD,murshidabad,1,WEST BENGAL,GEN,1.4,0,0,0,0,1,0,2140000000,0,1,3,0,10
MUZAFFARNAGAR,muzaffarnagar,1,UTTAR PRADESH,GEN,36.2,1,1,0,0,0,1,540000000,1,0,25,0,15
MUZAFFARPUR,muzaffarpur,12,BIHAR,GEN,23.4,0,1,1,0,1,0,2460000000,0,0,3,0,8
MYSORE,mysore,3,KARNATAKA,GEN,2.7,0,1,0,0,0,0,820000000,1,0,87,0,17
NABARANGPUR,nabarangpur,86,ODISHA,ST,0.2,0,0,1,0,1,0,4880000000,0,0,2,0,8
NAGALAND,,,NAGALAND,ST,38.5,0,1,1,0,1,0,360000000,0,0,1,1,13
NAGAPATTINAM,nagapattinam,1,TAMIL NADU,SC,11.3,0,0,1,0,0,0,1850000000,1,0,4,0,15
NAGARKURNOOL,,,TELANGANA,SC,1.5,0,0,0,0,0,0,1730000000,1,1,18,1,14
NAGAUR,,,RAJASTHAN,GEN,7.5,0,1,1,0,0,0,4010000000,1,0,0,0,11
NAGINA,,,UTTAR PRADESH,SC,9.8,0,1,0,0,0,0,150000000,1,0,7,0,11
NAGPUR,"nagpur, nagapur ",8,MAHARASHTRA,GEN,26.3,1,1,1,0,0,1,8260000000,1,0,459,8,18
NAINITAL-UDHAMSINGH NAGAR,nainital,2,UTTARAKHAND,GEN,25.8,0,1,0,0,1,0,170000000,0,0,208,1,15
NALANDA,,,BIHAR,GEN,1,0,1,1,0,0,0,280000000,1,0,0,0,8
NALGONDA,nalgonda,3,TELANGANA,GEN,16.2,0,0,0,0,0,0,1860000000,1,1,41,7,14
NAMAKKAL,namakkal,41,TAMIL NADU,GEN,27.8,0,0,1,0,0,0,1760000000,1,0,33,1,18
NANDED,nanded,2,MAHARASHTRA,GEN,8,0,0,0,0,1,0,1040000000,0,1,8,0,15
NANDURBAR,,,MAHARASHTRA,ST,9.6,0,1,1,0,1,0,4250000000,0,0,16,0,11
NANDYAL,,,ANDHRA PRADESH,GEN,8.8,0,0,0,0,0,0,4190000000,1,1,37,3,15
NARASARAOPET,,,ANDHRA PRADESH,GEN,2.8,0,1,1,0,0,0,5850000000,1,0,22,3,16
NARSAPURAM,,,ANDHRA PRADESH,GEN,7.8,0,1,0,1,0,0,4270000000,1,0,21,1,15
NASHIK,nashik,8,MAHARASHTRA,GEN,20,0,1,1,0,0,0,11470000000,1,0,205,8,18
NAVSARI,navsari,61,GUJARAT,GEN,48.1,0,1,1,0,0,0,22120000000,1,0,339,6,18
NAWADA,,,BIHAR,GEN,15.8,1,1,1,0,1,0,0,0,0,0,0,8
NELLORE,nellore,1,ANDHRA PRADESH,GEN,1.1,0,0,0,0,0,0,230000000,1,1,35,0,14
NEW DELHI,new delhi,31,DELHI,GEN,16.8,0,1,0,0,0,0,15720000000,1,0,81,5,18
NILGIRIS,nilgiris,3,TAMIL NADU,SC,11.2,0,0,1,0,0,0,17760000000,1,0,184,14,18
NIZAMABAD,nizamabad,1,TELANGANA,GEN,16.2,0,0,1,0,0,0,13190000000,1,0,31,2,14
NORTH EAST DELHI,north delhi,38,DELHI,GEN,10.9,0,1,0,0,0,0,2800000000,1,0,1,0,18
NORTH GOA,north goa,1,GOA,GEN,26,1,1,1,0,0,1,710000000,1,0,80,1,18
NORTH WEST DELHI,north west delhi,80,DELHI,SC,7.9,0,1,0,0,0,0,49790000000,1,0,4,0,18
NOWGONG,,,ASSAM,GEN,11.7,0,1,0,0,0,0,0,1,0,1,0,9
ONGOLE,,,ANDHRA PRADESH,GEN,1.3,0,0,0,0,0,0,230000000,1,1,27,0,14
OSMANABAD,osmanabad,18,MAHARASHTRA,GEN,21,0,1,1,0,0,0,3940000000,1,0,37,2,13
OUTER MANIPUR,padra,2,MANIPUR,ST,2,0,0,1,0,1,0,960000000,0,0,0,0,12
PALAKKAD,palakkad,1,KERALA,GEN,11.6,0,0,0,0,0,0,1400000000,1,1,15,0,16
PALAMAU,palamu,1,JHARKHAND,SC,27,0,1,1,0,1,0,0,0,0,1,0,7
PALGHAR,palghar,1,MAHARASHTRA,ST,24.1,0,1,1,0,0,0,20330000000,1,0,383,16,17
PALI,pali,48,RAJASTHAN,GEN,36.4,0,1,1,0,0,0,31920000000,1,0,13,0,11
PANCHMAHAL,panchmahal,33,GUJARAT,GEN,18.3,0,1,1,1,0,1,710000000,1,0,54,2,12
PARBHANI,parbhani,1,MAHARASHTRA,GEN,10.9,0,1,1,0,0,0,40440000000,1,0,28,0,12
PASCHIM CHAMPARAN,,,BIHAR,GEN,12.9,0,1,1,0,0,0,0,1,0,0,0,8
PATALIPUTRA,,,BIHAR,GEN,4.1,1,1,1,1,0,1,2380000000,1,0,35,2,14
PATAN,patan,3,GUJARAT,GEN,14.5,0,1,1,0,0,0,8390000000,1,0,106,3,16
PATHANAMTHITTA,pathanamthitta,5,KERALA,GEN,6.5,0,0,1,0,0,0,1820000000,1,0,10,2,16
PATIALA,patiala,1,PUNJAB,GEN,1.9,0,0,0,0,0,0,3290000000,1,1,30,2,17
PATNA SAHIB,"patna, PATNA SAHIB ",6,BIHAR,GEN,30.1,0,1,1,1,0,1,2380000000,1,0,35,2,14
PEDDAPALLE,,,TELANGANA,SC,28.5,0,0,1,0,1,0,13330000000,0,0,31,2,13
PERAMBALUR,perambalur,2,TAMIL NADU,GEN,20.7,0,0,1,0,0,0,3650000000,1,0,17,2,17
PHULPUR,,,UTTAR PRADESH,GEN,32.1,0,1,0,0,0,0,630000000,1,0,0,0,12
PILIBHIT,,,UTTAR PRADESH,GEN,29.2,1,1,0,0,0,0,660000000,1,0,16,0,10
POLLACHI,,,TAMIL NADU,GEN,13.9,0,0,1,0,0,0,16560000000,1,0,135,13,18
PONDICHERRY,"pondicherry, puducherry ",28,PUDUCHERRY,GEN,8.2,1,1,1,0,0,1,250000000,1,0,89,1,18
PONNANI,,,KERALA,GEN,2.9,0,0,0,0,0,0,1400000000,1,1,15,0,16
PORBANDAR,porbandar,1,GUJARAT,GEN,33.1,0,1,1,0,0,0,7260000000,1,0,31,2,17
PRATAPGARH,,,UTTAR PRADESH,GEN,18.8,0,1,0,0,0,0,70000000,1,0,0,0,10
PUNE,pune,783,MAHARASHTRA,GEN,31.8,0,1,1,0,0,0,176290000000,1,0,779,49,18
PURI,,,ODISHA,GEN,25.3,0,0,1,0,0,0,1700000000,1,0,37,0,14
PURNIA,,,BIHAR,GEN,11.5,0,1,1,0,1,0,0,0,0,0,0,8
PURULIA,purulia,25,WEST BENGAL,GEN,12.8,0,0,1,0,0,0,3730000000,1,0,7,0,9
PURVI CHAMPARAN,,,BIHAR,GEN,23.4,1,1,1,0,0,0,0,1,0,0,0,9
RAE BARELI,rae bareli,7,UTTAR PRADESH,GEN,42.7,0,0,0,0,0,0,3320000000,1,1,12,1,9
RAICHUR,raichur,2,KARNATAKA,ST,0.2,0,0,1,0,1,0,3280000000,0,0,29,0,14
RAIGAD,raigad,6,MAHARASHTRA,GEN,0.2,1,1,1,0,0,1,3550000000,1,0,661,9,12
RAIGANJ,,,WEST BENGAL,GEN,0.1,0,0,0,0,0,0,0,1,1,0,0,10
RAIGARH,raigarh,632,CHHATTISGARH,ST,17.4,1,1,1,0,0,0,170000000,1,0,33,1,13
RAIPUR,raipur,33,CHHATTISGARH,GEN,13.7,0,1,1,0,0,0,10860000000,1,0,37,0,12
RAJAHMUNDRY,,,ANDHRA PRADESH,GEN,14.5,0,1,1,1,0,0,6620000000,1,0,378,4,15
RAJAMPET,,,ANDHRA PRADESH,GEN,15.1,0,0,0,0,1,0,7740000000,0,1,57,4,11
RAJGARH,rajgarh,1,MADHYA PRADESH,GEN,22.6,0,1,1,0,1,0,340000000,0,0,12,0,10
RAJKOT,rajkot,2,GUJARAT,GEN,23.3,1,1,1,0,1,1,8570000000,0,0,20,0,16
RAJMAHAL,,,JHARKHAND,ST,4.3,0,0,0,0,1,0,0,0,1,0,0,10
RAJNANDGAON,rajnandgaon,20,CHHATTISGARH,GEN,20,0,1,1,0,1,0,1510000000,0,0,7,0,10
RAJSAMAND,rajsamand,7,RAJASTHAN,GEN,40.3,0,1,1,0,0,0,35510000000,1,0,19,2,13
RAMANATHAPURAM,ramanathapuram,2,TAMIL NADU,GEN,11.9,0,0,1,0,1,0,2280000000,0,0,20,2,16
RAMPUR,rampur,8,UTTAR PRADESH,GEN,2.5,0,1,0,0,0,0,1210000000,1,0,9,1,10
RAMTEK,,,MAHARASHTRA,SC,16.7,0,1,1,0,0,0,8260000000,1,0,459,8,18
RANAGHAT,,,WEST BENGAL,SC,14.9,0,0,1,0,1,0,1670000000,0,0,2,0,11
RANCHI,ranchi,9,JHARKHAND,GEN,19,0,1,1,0,1,0,830000000,0,0,65,0,11
RATLAM,ratlam,2,MADHYA PRADESH,ST,10,0,1,1,0,0,0,0,1,0,8,0,10
RATNAGIRI SINDHUDURG,ratnagiri,8,MAHARASHTRA,GEN,16.7,0,1,1,0,0,0,2370000000,1,0,32,2,14
RAVER,,,MAHARASHTRA,GEN,31.5,0,1,1,0,1,0,400000000,0,0,37,0,14
REWA,rewa,2,MADHYA PRADESH,GEN,20.3,0,1,1,0,0,0,200000000,1,0,3,1,12
ROBERTSGANJ,,,UTTAR PRADESH,SC,21.5,0,1,0,0,1,0,980000000,0,0,14,1,10
ROHTAK,rohtak,6,HARYANA,GEN,16.3,0,0,0,1,0,0,7970000000,1,1,72,4,18
SABARKANTHA,sabarkatha,92,GUJARAT,GEN,7.7,0,1,1,0,0,0,210000000,1,0,3,0,13
SAGAR,,,MADHYA PRADESH,GEN,13.5,0,1,1,0,1,0,680000000,0,0,0,0,11
SAHARANPUR,saharanpur,3,UTTAR PRADESH,GEN,5.5,0,1,0,0,0,0,230000000,1,0,20,0,14
SALEM,salem,1,TAMIL NADU,GEN,23.3,0,0,1,0,0,0,1660000000,1,0,31,1,18
SALEMPUR,,,UTTAR PRADESH,GEN,27.2,0,1,0,0,0,0,330000000,1,0,1,0,12
SAMASTIPUR,samastipur,33,BIHAR,SC,0.8,0,1,0,0,0,0,0,1,0,1,0,8
SAMBALPUR,sambalpur,8,ODISHA,GEN,3.1,0,0,1,0,0,0,42040000000,1,0,31,1,11
SAMBHAL,sambhal,3,UTTAR PRADESH,GEN,0.5,0,1,0,0,0,0,1150000000,1,0,17,2,11
SANGLI,,,MAHARASHTRA,GEN,22.9,0,1,1,0,0,0,1310000000,1,0,10,0,16
SANGRUR,"sangrur, ahmedgarh (sangrur dist) ",16,PUNJAB,GEN,19.3,0,0,0,0,0,0,1300000000,1,1,195,2,15
SANT KABIR NAGAR,sant kabir nagar,1,UTTAR PRADESH,GEN,9.7,0,1,0,0,0,0,3240000000,1,0,13,0,11
SARAN,,,BIHAR,GEN,4.7,1,1,1,0,0,0,270000000,1,0,0,0,9
SASARAM,,,BIHAR,SC,7.5,0,1,1,0,0,0,0,1,0,2,0,9
SATARA,satara,1,MAHARASHTRA,GEN,37.5,0,0,0,0,0,0,1750000000,1,1,60,2,17
SATNA,satna,1,MADHYA PRADESH,GEN,1,0,1,1,0,0,0,560000000,1,0,10,0,12
SECUNDERABAD,"secunderabad, sikandrabad ",2,TELANGANA,GEN,25.4,1,1,0,0,0,1,30460000000,1,0,159,26,18
SHAHDOL,shahdol,14,MADHYA PRADESH,ST,24.9,0,1,1,0,0,0,570000000,1,0,277,2,11
SHAHJAHANPUR,shahjahanpur,270,UTTAR PRADESH,SC,20.8,0,1,0,0,0,0,3310000000,1,0,5,0,8
SHEOHAR,sehore,1,BIHAR,GEN,16.2,0,1,1,0,1,0,200000000,0,0,2,0,9
SHILLONG,,,MEGHALAYA,ST,6.5,0,0,1,0,1,0,1560000000,0,0,3,0,10
SHIMLA,shimla,1,HIMACHAL PRADESH,SC,11.4,0,1,0,0,0,0,2580000000,1,0,186,1,18
SHIMOGA,shimoga,11,KARNATAKA,GEN,32.2,0,1,0,0,0,0,3100000000,1,0,14,1,17
SHIRDI,,,MAHARASHTRA,SC,21.4,0,1,1,0,0,0,340000000,1,0,21,0,14
SHIRUR,,,MAHARASHTRA,GEN,27.7,0,1,1,0,0,0,176290000000,1,0,779,49,18
SHRAWASTI,,,UTTAR PRADESH,GEN,8.8,0,1,0,0,1,0,60000000,0,0,4,0,7
SIDHI,sidhi,4,MADHYA PRADESH,GEN,10.9,0,1,1,0,1,0,50070000000,0,0,290,3,9
SIKAR,sikar,2,RAJASTHAN,GEN,22.4,0,1,1,0,0,0,910000000,1,0,2,1,16
SIKKIM,,,SIKKIM,GEN,13.5,0,0,1,0,1,0,310000000,0,0,16,0,17
SILCHAR,,,ASSAM,GEN,4.4,0,0,1,0,0,0,0,1,0,0,0,13
SINGHBHUM,,,JHARKHAND,ST,11,0,1,1,0,1,0,0,0,0,18,0,11
SIRSA,,,HARYANA,SC,9,0,0,0,0,0,0,410000000,1,1,0,0,15
SITAMARHI,sitamarhi,3,BIHAR,GEN,16.4,0,1,0,0,1,0,200000000,0,0,2,0,9
SITAPUR,sitapur,2,UTTAR PRADESH,GEN,5,0,1,0,0,0,0,630000000,1,0,12,0,7
SIVAGANGA,sivaganga,12,TAMIL NADU,GEN,22.3,0,0,1,0,0,0,300000000,1,0,17,0,15
SIWAN,,,BIHAR,GEN,12.9,0,1,1,0,0,0,0,1,0,0,0,15
SOLAPUR,solapur,152,MAHARASHTRA,SC,15.7,0,1,1,0,0,0,960000000,1,0,34,2,15
SONIPAT,sonipat,14,HARYANA,GEN,7.9,0,1,1,0,0,0,10360000000,1,0,15,0,16
SOUTH DELHI,south delhi,10,DELHI,GEN,9.7,0,1,0,0,0,0,5400000000,1,0,34,4,18
SOUTH GOA,south goa,20,GOA,GEN,7.9,0,1,1,0,0,0,1340000000,1,0,118,1,18
SREERAMPUR,,,WEST BENGAL,GEN,11.8,0,0,1,0,0,0,1330000000,1,0,107,3,18
SRIKAKULAM,srikakulam,3,ANDHRA PRADESH,GEN,12.1,0,1,1,0,0,0,5970000000,1,0,25,2,13
SRINAGAR,,,JAMMU AND KASHMIR,GEN,13.5,0,0,0,0,0,0,16420000000,1,1,0,0,16
