,District,State,LokSabhaConstituency,Constituency,No,Type,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,PartyShort
142,Sheikhpura,BIHAR,JAMUI,JAMUI,40.0,SC,Chirag Kumar Paswan,Lok Jan Shakti Party,1550936.0,775639.0,50.0 %,85947.0,11.1%,LJP
143,Sheikhpura,BIHAR,NAWADA,NAWADA,39.0,GEN,Giriraj Singh,Bharatiya Janta Party,1675789.0,884441.0,52.8 %,140157.0,15.8%,BJP
144,Sheohar,BIHAR,SHEOHAR,SHEOHAR,4.0,GEN,Rama Devi,Bharatiya Janta Party,1489724.0,842894.0,56.6 %,136239.0,16.2%,BJP
145,Sitamarhi,BIHAR,SHEOHAR,SHEOHAR,4.0,GEN,Rama Devi,Bharatiya Janta Party,1489724.0,842894.0,56.6 %,136239.0,16.2%,BJP
146,Sitamarhi,BIHAR,SITAMARHI,SITAMARHI,5.0,GEN,Ram Kumar Sharma,Rashtriya Lok Samta Party,1574914.0,900588.0,57.2 %,147965.0,16.4%,RLSP
147,Siwan,BIHAR,MAHARAJGANJ,MAHARAJGANJ,19.0,GEN,Janardan Singh Sigriwal,Bharatiya Janta Party,1644524.0,846654.0,51.5 %,38415.0,4.5%,BJP
148,Siwan,BIHAR,SIWAN,SIWAN,18.0,GEN,Om Prakash Yadav,Bharatiya Janta Party,1563860.0,884021.0,56.5 %,113847.0,12.9%,BJP
149,Supaul,BIHAR,SUPAUL,SUPAUL,8.0,GEN,Ranjeet Ranjan,Indian National Congress,1525592.0,970528.0,63.6 %,59672.0,6.1%,INC
150,Vaishali,BIHAR,HAJIPUR,HAJIPUR,21.0,SC,Ramvilas Paswan,Lok JanShakti Party,1649547.0,904753.0,54.9 %,225500.0,24.9%,LJP
151,Vaishali,BIHAR,UJIARPUR,UJIARPUR,22.0,GEN,Nityanand Rai,Bharatiya Janta Party,1428445.0,858920.0,60.1 %,60469.0,7.0%,BJP
152,Vaishali,BIHAR,VAISHALI,VAISHALI,16.0,GEN,Rama Kishore Singh,Lok Jan Shakti Party,1587202.0,925937.0,58.3 %,99267.0,10.7%,LJSP
153,West Champaran,BIHAR,PASCHIM CHAMPARAN,PASCHIM CHAMPARAN,2.0,GEN,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1413073.0,854800.0,60.5 %,110254.0,12.9%,BJP
154,West Champaran,BIHAR,VALMIKI NAGAR,VALMIKI NAGAR,1.0,GEN,Satish Chandra Dubey,Bharatiya Janta Party,1456576.0,900114.0,61.8 %,117793.0,13.1%,BJP
155,Chandigarh,CHANDIGARH,CHANDIGARH,CHANDIGARH,1.0,GEN,Kher Kirron Anupam,Bharatiya Janta Party,615214.0,453455.0,73.7 %,69642.0,15.4%,BJP
156,Bastar,CHHATTISGARH,BASTAR,BASTAR,10.0,ST,Dinesh Kashyap,Bharatiya Janta Party,1298059.0,769913.0,59.3 %,124359.0,16.2%,BJP
157,Bastar,CHHATTISGARH,KANKER,KANKER,11.0,ST,Vikram Dev Usendi,Bharatiya Janta Party,1447774.0,1016943.0,70.2 %,35158.0,3.5%,BJP
158,Bilaspur,CHHATTISGARH,BILASPUR,BILASPUR,5.0,GEN,Lakhan Lal Sahu,Bharatiya Janta Party,1727325.0,1090457.0,63.1 %,176436.0,16.2%,BJP
159,Bilaspur,CHHATTISGARH,KORBA,KORBA,4.0,GEN,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610.0,1052720.0,74.2 %,4265.0,0.4%,BJP
160,Dantewada,CHHATTISGARH,BASTAR,BASTAR,10.0,ST,Dinesh Kashyap,Bharatiya Janta Party,1298059.0,769913.0,59.3 %,124359.0,16.2%,BJP
161,Dhamtari,CHHATTISGARH,KANKER,KANKER,11.0,ST,Vikram Dev Usendi,Bharatiya Janta Party,1447774.0,1016943.0,70.2 %,35158.0,3.5%,BJP
162,Dhamtari,CHHATTISGARH,MAHASAMUND,MAHASAMUND,9.0,GEN,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747.0,1131209.0,74.6 %,1217.0,0.1%,BJP
163,Durg,CHHATTISGARH,DURG,DURG,7.0,GEN,Tamradhwaj Sahu,Indian National Congress,1855781.0,1258342.0,67.8 %,16848.0,1.3%,INC
164,Durg,CHHATTISGARH,KANKER,KANKER,11.0,ST,Vikram Dev Usendi,Bharatiya Janta Party,1447774.0,1016943.0,70.2 %,35158.0,3.5%,BJP
165,Janjgir Champa,CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR-CHAMPA,3.0,SC,Kamla Patle,Bharatiya Janta Party,1737532.0,1073347.0,61.8 %,174961.0,16.3%,BJP
166,Jashpur,CHHATTISGARH,RAIGARH,RAIGARH,2.0,ST,Vishnu Deo Sai,Bharatiya Janta Party,1605824.0,1246186.0,77.6 %,216750.0,17.4%,BJP
167,Kabirdham,CHHATTISGARH,RAJNANDGAON,RAJNANDGAON,6.0,GEN,Abhishek Singh,Bharatiya Janta Party,1588095.0,1178296.0,74.2 %,235911.0,20.0%,BJP
168,Kanker,CHHATTISGARH,KANKER,KANKER,11.0,ST,Vikram Dev Usendi,Bharatiya Janta Party,1447774.0,1016943.0,70.2 %,35158.0,3.5%,BJP
169,Korba,CHHATTISGARH,KORBA,KORBA,4.0,GEN,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610.0,1052720.0,74.2 %,4265.0,0.4%,BJP
170,Koriya,CHHATTISGARH,KORBA,KORBA,4.0,GEN,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610.0,1052720.0,74.2 %,4265.0,0.4%,BJP
171,Mahasamund,CHHATTISGARH,MAHASAMUND,MAHASAMUND,9.0,GEN,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747.0,1131209.0,74.6 %,1217.0,0.1%,BJP
172,Raigarh,CHHATTISGARH,RAIGARH,RAIGARH,2.0,ST,Vishnu Deo Sai,Bharatiya Janta Party,1605824.0,1246186.0,77.6 %,216750.0,17.4%,BJP
173,Raipur,CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR-CHAMPA,3.0,SC,Kamla Patle,Bharatiya Janta Party,1737532.0,1073347.0,61.8 %,174961.0,16.3%,BJP
174,Raipur,CHHATTISGARH,MAHASAMUND,MAHASAMUND,9.0,GEN,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747.0,1131209.0,74.6 %,1217.0,0.1%,BJP
175,Raipur,CHHATTISGARH,RAIPUR,RAIPUR,8.0,GEN,Ramesh Bais,Bharatiya Janta Party,1904230.0,1250845.0,65.7 %,171646.0,13.7%,BJP
176,Rajnandgaon,CHHATTISGARH,RAJNANDGAON,RAJNANDGAON,6.0,GEN,Abhishek Singh,Bharatiya Janta Party,1588095.0,1178296.0,74.2 %,235911.0,20.0%,BJP
177,Surguja,CHHATTISGARH,SURGUJA,SURGUJA,1.0,ST,Kamalbhan Singh Marabi,Bharatiya Janta Party,1523072.0,1187321.0,78.0 %,147236.0,12.4%,BJP
178,Dadra And Nagar Haveli,DADRA AND NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,1.0,GEN,Patel Natubhai Gomanbhai,Bharatiya Janta Party,196617.0,165286.0,84.1 %,6214.0,3.8%,BJP
179,Daman,DAMAN AND DIU,DAMAN & DIU,DAMAN & DIU,1.0,GEN,Patel Lalubhai Babubhai,Bharatiya Janta Party,111827.0,87233.0,78.0 %,9222.0,10.6%,BJP
180,Diu,DAMAN AND DIU,DAMAN & DIU,DAMAN & DIU,1.0,GEN,Patel Lalubhai Babubhai,Bharatiya Janta Party,111827.0,87233.0,78.0 %,9222.0,10.6%,BJP
181,Central Delhi,DELHI,CHANDNI CHOWK,CHANDNI CHOWK,1.0,GEN,Dr. Harsh Vardhan,Bharatiya Janta Party,1447228.0,981863.0,67.8 %,136320.0,13.9%,BJP
182,Central Delhi,DELHI,NEW DELHI,NEW DELHI,4.0,GEN,Meenakashi Lekhi,Bharatiya Janta Party,1490147.0,969812.0,65.1 %,162708.0,16.8%,BJP
183,East Delhi,DELHI,EAST DELHI,EAST DELHI,3.0,GEN,Maheish Girri,Bharatiya Janta Party,1829578.0,1196336.0,65.4 %,190463.0,15.9%,BJP
184,New Delhi,DELHI,EAST DELHI,EAST DELHI,3.0,GEN,Maheish Girri,Bharatiya Janta Party,1829578.0,1196336.0,65.4 %,190463.0,15.9%,BJP
185,New Delhi,DELHI,NEW DELHI,NEW DELHI,4.0,GEN,Meenakashi Lekhi,Bharatiya Janta Party,1490147.0,969812.0,65.1 %,162708.0,16.8%,BJP
186,North Delhi,DELHI,CHANDNI CHOWK,CHANDNI CHOWK,1.0,GEN,Dr. Harsh Vardhan,Bharatiya Janta Party,1447228.0,981863.0,67.8 %,136320.0,13.9%,BJP
187,North Delhi,DELHI,NORTH EAST DELHI,NORTH EAST DELHI,2.0,GEN,Manoj Tiwari,Bharatiya Janta Party,1957707.0,1317338.0,67.3 %,144084.0,10.9%,BJP
188,North East  Delhi,DELHI,NORTH EAST DELHI,NORTH EAST DELHI,2.0,GEN,Manoj Tiwari,Bharatiya Janta Party,1957707.0,1317338.0,67.3 %,144084.0,10.9%,BJP
189,North West  Delhi,DELHI,NORTH WEST DELHI,NORTH WEST DELHI,5.0,SC,Udit Raj,Bharatiya Janta Party,2194425.0,1356036.0,61.8 %,106802.0,7.9%,BJP
190,South Delhi,DELHI,SOUTH DELHI,SOUTH DELHI,7.0,GEN,Ramesh Bidhuri,Bharatiya Janta Party,1752741.0,1102410.0,62.9 %,107000.0,9.7%,BJP
191,South West  Delhi,DELHI,NEW DELHI,NEW DELHI,4.0,GEN,Meenakashi Lekhi,Bharatiya Janta Party,1490147.0,969812.0,65.1 %,162708.0,16.8%,BJP
192,South West  Delhi,DELHI,SOUTH DELHI,SOUTH DELHI,7.0,GEN,Ramesh Bidhuri,Bharatiya Janta Party,1752741.0,1102410.0,62.9 %,107000.0,9.7%,BJP
193,South West  Delhi,DELHI,WEST DELHI,WEST DELHI,6.0,GEN,Parvesh Sahib Singh Verma,Bharatiya Janta Party,2039410.0,1347971.0,66.1 %,268586.0,19.9%,BJP
194,West Delhi,DELHI,NORTH WEST DELHI,NORTH WEST DELHI,5.0,SC,Udit Raj,Bharatiya Janta Party,2194425.0,1356036.0,61.8 %,106802.0,7.9%,BJP
195,West Delhi,DELHI,WEST DELHI,WEST DELHI,6.0,GEN,Parvesh Sahib Singh Verma,Bharatiya Janta Party,2039410.0,1347971.0,66.1 %,268586.0,19.9%,BJP
196,North Goa,GOA,NORTH GOA,NORTH GOA,1.0,GEN,Shripad Yesso Naik,Bharatiya Janta Party,515441.0,406631.0,78.9 %,105599.0,26.0%,BJP
197,North Goa,GOA,SOUTH GOA,SOUTH GOA,2.0,GEN,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,545336.0,410369.0,75.3 %,32330.0,7.9%,BJP
198,South Goa,GOA,SOUTH GOA,SOUTH GOA,2.0,GEN,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,545336.0,410369.0,75.3 %,32330.0,7.9%,BJP
199,Ahmedabad,GUJARAT,AHMEDABAD EAST,AHMEDABAD EAST,7.0,GEN,Paresh Rawal,Bharatiya Janta Party,1601832.0,985525.0,61.5 %,326633.0,33.1%,BJP
200,Ahmedabad,GUJARAT,AHMEDABAD WEST,AHMEDABAD WEST,8.0,SC,Dr. Kirit P Solanki,Bharatiya Janta Party,1534400.0,964609.0,62.9 %,320311.0,33.2%,BJP
201,Ahmedabad,GUJARAT,GANDHINAGAR,GANDHINAGAR,6.0,GEN,L.K.Advani,Bharatiya Janta Party,1733972.0,1135495.0,65.5 %,483121.0,42.5%,BJP
202,Ahmedabad,GUJARAT,KHEDA,KHEDA,17.0,GEN,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),Bharatiya Janta Party,1599476.0,955906.0,59.8 %,232901.0,24.4%,BJP
203,Amreli,GUJARAT,AMRELI,AMRELI,14.0,GEN,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1486286.0,808816.0,54.4 %,156232.0,19.3%,BJP
204,Anand,GUJARAT,ANAND,ANAND,16.0,GEN,Dilip Patel,Bharatiya Janta Party,1496859.0,970894.0,64.9 %,63426.0,6.5%,BJP
205,Banaskantha,GUJARAT,BANASKANTHA,BANASKANTHA,2.0,GEN,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,1515711.0,886634.0,58.5 %,202334.0,22.8%,BJP
206,Banaskantha,GUJARAT,PATAN,PATAN,3.0,GEN,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641.0,955799.0,58.7 %,138719.0,14.5%,BJP
207,Bharuch,GUJARAT,BHARUCH,BHARUCH,22.0,GEN,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,1417548.0,1060211.0,74.8 %,153273.0,14.5%,BJP
208,Bhavnagar,GUJARAT,AMRELI,AMRELI,14.0,GEN,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1486286.0,808816.0,54.4 %,156232.0,19.3%,BJP
209,Bhavnagar,GUJARAT,BHAVNAGAR,BHAVNAGAR,15.0,GEN,Dr. Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1594531.0,917402.0,57.5 %,295488.0,32.2%,BJP
210,Dahod,GUJARAT,DAHOD,DAHOD,19.0,ST,Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1411765.0,900381.0,63.8 %,230354.0,25.6%,BJP
211,Dang,GUJARAT,VALSAD,VALSAD,26.0,ST,Dr. K.C.Patel,Bharatiya Janta Party,1512061.0,1122203.0,74.2 %,208004.0,18.5%,BJP
212,Gandhinagar,GUJARAT,AHMEDABAD EAST,AHMEDABAD EAST,7.0,GEN,Paresh Rawal,Bharatiya Janta Party,1601832.0,985525.0,61.5 %,326633.0,33.1%,BJP
213,Gandhinagar,GUJARAT,GANDHINAGAR,GANDHINAGAR,6.0,GEN,L.K.Advani,Bharatiya Janta Party,1733972.0,1135495.0,65.5 %,483121.0,42.5%,BJP
214,Gandhinagar,GUJARAT,MAHESANA,MAHESANA,4.0,GEN,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219.0,1004258.0,67.0 %,208891.0,20.8%,BJP
215,Jamnagar,GUJARAT,JAMNAGAR,JAMNAGAR,12.0,GEN,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1470952.0,852643.0,58.0 %,175289.0,20.6%,BJP
216,Junagadh,GUJARAT,JUNAGADH,JUNAGADH,13.0,GEN,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1485543.0,941378.0,63.4 %,135832.0,14.4%,BJP
217,Junagadh,GUJARAT,PORBANDAR,PORBANDAR,11.0,GEN,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223.0,809433.0,52.6 %,267971.0,33.1%,BJP
218,Kutch,GUJARAT,KACHCHH,KACHCHH,1.0,SC,Chavda Vinod Lakhamashi,Bharatiya Janta Party,1533782.0,946240.0,61.7 %,254482.0,26.9%,BJP
219,Kheda,GUJARAT,KHEDA,KHEDA,17.0,GEN,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),Bharatiya Janta Party,1599476.0,955906.0,59.8 %,232901.0,24.4%,BJP
220,Kheda,GUJARAT,PANCHMAHAL,PANCHMAHAL,18.0,GEN,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1576667.0,933461.0,59.2 %,170596.0,18.3%,BJP
221,Mehsana,GUJARAT,MAHESANA,MAHESANA,4.0,GEN,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219.0,1004258.0,67.0 %,208891.0,20.8%,BJP
222,Mehsana,GUJARAT,PATAN,PATAN,3.0,GEN,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641.0,955799.0,58.7 %,138719.0,14.5%,BJP
223,Narmada,GUJARAT,BHARUCH,BHARUCH,22.0,GEN,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,1417548.0,1060211.0,74.8 %,153273.0,14.5%,BJP
224,Narmada,GUJARAT,CHHOTA UDAIPUR,CHHOTA UDAIPUR,21.0,ST,Ramsinh Rathwa,Bharatiya Janta Party,1536305.0,1100542.0,71.6 %,179729.0,16.3%,BJP
225,Navsari,GUJARAT,NAVSARI,NAVSARI,25.0,GEN,C. R. Patil,Bharatiya Janta Party,1764622.0,1160747.0,65.8 %,558116.0,48.1%,BJP
226,Navsari,GUJARAT,VALSAD,VALSAD,26.0,ST,Dr. K.C.Patel,Bharatiya Janta Party,1512061.0,1122203.0,74.2 %,208004.0,18.5%,BJP
227,Panchmahal,GUJARAT,CHHOTA UDAIPUR,CHHOTA UDAIPUR,21.0,ST,Ramsinh Rathwa,Bharatiya Janta Party,1536305.0,1100542.0,71.6 %,179729.0,16.3%,BJP
228,Panchmahal,GUJARAT,DAHOD,DAHOD,19.0,ST,Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1411765.0,900381.0,63.8 %,230354.0,25.6%,BJP
229,Panchmahal,GUJARAT,PANCHMAHAL,PANCHMAHAL,18.0,GEN,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1576667.0,933461.0,59.2 %,170596.0,18.3%,BJP
230,Patan,GUJARAT,PATAN,PATAN,3.0,GEN,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641.0,955799.0,58.7 %,138719.0,14.5%,BJP
231,Porbandar,GUJARAT,PORBANDAR,PORBANDAR,11.0,GEN,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223.0,809433.0,52.6 %,267971.0,33.1%,BJP
232,Rajkot,GUJARAT,KACHCHH,KACHCHH,1.0,SC,Chavda Vinod Lakhamashi,Bharatiya Janta Party,1533782.0,946240.0,61.7 %,254482.0,26.9%,BJP
233,Rajkot,GUJARAT,PORBANDAR,PORBANDAR,11.0,GEN,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223.0,809433.0,52.6 %,267971.0,33.1%,BJP
234,Rajkot,GUJARAT,RAJKOT,RAJKOT,10.0,GEN,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1655717.0,1057069.0,63.8 %,246428.0,23.3%,BJP
235,Sabarkantha,GUJARAT,SABARKANTHA,SABARKANTHA,5.0,GEN,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1615840.0,1094002.0,67.7 %,84455.0,7.7%,BJP
236,Surat,GUJARAT,BARDOLI,BARDOLI,23.0,ST,Vasava Parbhubhai Nagarbhai,Bharatiya Janta Party,1614106.0,1206179.0,74.7 %,123884.0,10.3%,BJP
237,Surat,GUJARAT,NAVSARI,NAVSARI,25.0,GEN,C. R. Patil,Bharatiya Janta Party,1764622.0,1160747.0,65.8 %,558116.0,48.1%,BJP
238,Surat,GUJARAT,SURAT,SURAT,24.0,GEN,Darshana Vikram Jardosh,Bharatiya Janta Party,1484068.0,947922.0,63.9 %,533190.0,56.2%,BJP
239,Surendranagar,GUJARAT,SURENDRANAGAR,SURENDRANAGAR,9.0,GEN,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,1656657.0,944677.0,57.0 %,202907.0,21.5%,BJP
240,Vadodara,GUJARAT,BHARUCH,BHARUCH,22.0,GEN,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,1417548.0,1060211.0,74.8 %,153273.0,14.5%,BJP
241,Vadodara,GUJARAT,CHHOTA UDAIPUR,CHHOTA UDAIPUR,21.0,ST,Ramsinh Rathwa,Bharatiya Janta Party,1536305.0,1100542.0,71.6 %,179729.0,16.3%,BJP
242,Vadodara,GUJARAT,VADODARA,VADODARA,20.0,GEN,Narendra Modi,Bharatiya Janta Party,1638321.0,1161577.0,70.9 %,570128.0,49.1%,BJP
243,Valsad,GUJARAT,VALSAD,VALSAD,26.0,ST,Dr. K.C.Patel,Bharatiya Janta Party,1512061.0,1122203.0,74.2 %,208004.0,18.5%,BJP
244,Ambala,HARYANA,AMBALA,AMBALA,1.0,SC,Rattan Lal Kataria,Bharatiya Janta Party,1692227.0,1218995.0,72.0 %,340074.0,27.9%,BJP
245,Bhiwani,HARYANA,BHIWANI-MAHENDRAGARH,BHIWANI-MAHENDRAGARH,8.0,GEN,Dharambir S/o Bhale Ram,Bharatiya Janta Party,1473912.0,1030431.0,69.9 %,129394.0,12.6%,BJP
246,Bhiwani,HARYANA,HISAR,HISAR,4.0,GEN,Dushyant Chautala,Indian National Lok Dal,1517606.0,1155914.0,76.2 %,31847.0,2.8%,INLD
247,Faridabad,HARYANA,FARIDABAD,FARIDABAD,10.0,GEN,Krishan Pal,Bharatiya Janta Party,1740352.0,1130726.0,65.0 %,466873.0,41.3%,BJP
248,Fatehabad,HARYANA,SIRSA,SIRSA,3.0,SC,Charanjeet Singh Rori,Indian National Lok Dal,1660557.0,1279105.0,77.0 %,115736.0,9.0%,INLD
249,Gurugram,HARYANA,GURGAON,GURGAON,9.0,GEN,Inderjit Singh Rao,Bharatiya Janta Party,1845623.0,1320619.0,71.6 %,274722.0,20.8%,BJP
250,Hisar,HARYANA,HISAR,HISAR,4.0,GEN,Dushyant Chautala,Indian National Lok Dal,1517606.0,1155914.0,76.2 %,31847.0,2.8%,INLD
251,Jhajjar,HARYANA,ROHTAK,ROHTAK,7.0,GEN,Deepender Singh Hooda,Indian National Congress,1567504.0,1044331.0,66.6 %,170627.0,16.3%,INC
252,Jind,HARYANA,HISAR,HISAR,4.0,GEN,Dushyant Chautala,Indian National Lok Dal,1517606.0,1155914.0,76.2 %,31847.0,2.8%,INLD
253,Jind,HARYANA,SIRSA,SIRSA,3.0,SC,Charanjeet Singh Rori,Indian National Lok Dal,1660557.0,1279105.0,77.0 %,115736.0,9.0%,INLD
254,Jind,HARYANA,SONIPAT,SONIPAT,6.0,GEN,Ramesh Chander,Bharatiya Janta Party,1417188.0,985637.0,69.6 %,77414.0,7.9%,BJP
255,Kaithal,HARYANA,KURUKSHETRA,KURUKSHETRA,2.0,GEN,Raj Kumar Saini,Bharatiya Janta Party,1498459.0,1135892.0,75.8 %,129736.0,11.4%,BJP
256,Karnal,HARYANA,KARNAL,KARNAL,5.0,GEN,Ashwini Kumar,Bharatiya Janta Party,1684321.0,1193500.0,70.9 %,360147.0,30.2%,BJP
257,Kurukshetra,HARYANA,KURUKSHETRA,KURUKSHETRA,2.0,GEN,Raj Kumar Saini,Bharatiya Janta Party,1498459.0,1135892.0,75.8 %,129736.0,11.4%,BJP
258,Mahendragarh,HARYANA,BHIWANI-MAHENDRAGARH,BHIWANI-MAHENDRAGARH,8.0,GEN,Dharambir S/o Bhale Ram,Bharatiya Janta Party,1473912.0,1030431.0,69.9 %,129394.0,12.6%,BJP
259,Panchkula,HARYANA,AMBALA,AMBALA,1.0,SC,Rattan Lal Kataria,Bharatiya Janta Party,1692227.0,1218995.0,72.0 %,340074.0,27.9%,BJP
260,Panipat,HARYANA,KARNAL,KARNAL,5.0,GEN,Ashwini Kumar,Bharatiya Janta Party,1684321.0,1193500.0,70.9 %,360147.0,30.2%,BJP
261,Rewari,HARYANA,GURGAON,GURGAON,9.0,GEN,Inderjit Singh Rao,Bharatiya Janta Party,1845623.0,1320619.0,71.6 %,274722.0,20.8%,BJP
262,Rewari,HARYANA,ROHTAK,ROHTAK,7.0,GEN,Deepender Singh Hooda,Indian National Congress,1567504.0,1044331.0,66.6 %,170627.0,16.3%,INC
263,Rohtak,HARYANA,ROHTAK,ROHTAK,7.0,GEN,Deepender Singh Hooda,Indian National Congress,1567504.0,1044331.0,66.6 %,170627.0,16.3%,INC
264,Sirsa,HARYANA,SIRSA,SIRSA,3.0,SC,Charanjeet Singh Rori,Indian National Lok Dal,1660557.0,1279105.0,77.0 %,115736.0,9.0%,INLD
265,Sonipat,HARYANA,SONIPAT,SONIPAT,6.0,GEN,Ramesh Chander,Bharatiya Janta Party,1417188.0,985637.0,69.6 %,77414.0,7.9%,BJP
266,Yamunanagar,HARYANA,AMBALA,AMBALA,1.0,SC,Rattan Lal Kataria,Bharatiya Janta Party,1692227.0,1218995.0,72.0 %,340074.0,27.9%,BJP
267,Yamunanagar,HARYANA,KURUKSHETRA,KURUKSHETRA,2.0,GEN,Raj Kumar Saini,Bharatiya Janta Party,1498459.0,1135892.0,75.8 %,129736.0,11.4%,BJP
268,Bilaspur,HIMACHAL PRADESH,HAMIRPUR,HAMIRPUR,3.0,GEN,Anurag Singh Thakur,Bharatiya Janta Party,1247699.0,835205.0,66.9 %,98403.0,11.8%,BJP
269,Chamba,HIMACHAL PRADESH,KANGRA,KANGRA,1.0,GEN,Shanta Kumar,Bharatiya Janta Party,1258601.0,799445.0,63.5 %,170072.0,21.3%,BJP
270,Chamba,HIMACHAL PRADESH,MANDI,MANDI,2.0,GEN,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,BJP
271,Hamirpur,HIMACHAL PRADESH,HAMIRPUR,HAMIRPUR,3.0,GEN,Anurag Singh Thakur,Bharatiya Janta Party,1247699.0,835205.0,66.9 %,98403.0,11.8%,BJP
272,Kangra,HIMACHAL PRADESH,HAMIRPUR,HAMIRPUR,3.0,GEN,Anurag Singh Thakur,Bharatiya Janta Party,1247699.0,835205.0,66.9 %,98403.0,11.8%,BJP
273,Kangra,HIMACHAL PRADESH,KANGRA,KANGRA,1.0,GEN,Shanta Kumar,Bharatiya Janta Party,1258601.0,799445.0,63.5 %,170072.0,21.3%,BJP
274,Kinnaur,HIMACHAL PRADESH,MANDI,MANDI,2.0,GEN,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,BJP
275,Kullu,HIMACHAL PRADESH,MANDI,MANDI,2.0,GEN,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,BJP
276,Lahaul Spiti,HIMACHAL PRADESH,MANDI,MANDI,2.0,GEN,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,BJP
277,Mandi,HIMACHAL PRADESH,HAMIRPUR,HAMIRPUR,3.0,GEN,Anurag Singh Thakur,Bharatiya Janta Party,1247699.0,835205.0,66.9 %,98403.0,11.8%,BJP
278,Mandi,HIMACHAL PRADESH,MANDI,MANDI,2.0,GEN,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,BJP
279,Shimla,HIMACHAL PRADESH,MANDI,MANDI,2.0,GEN,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,BJP
280,Shimla,HIMACHAL PRADESH,SHIMLA,SHIMLA,4.0,SC,Virender Kashyap,Bharatiya Janta Party,1153363.0,737757.0,64.0 %,84187.0,11.4%,BJP
281,Sirmaur,HIMACHAL PRADESH,SHIMLA,SHIMLA,4.0,SC,Virender Kashyap,Bharatiya Janta Party,1153363.0,737757.0,64.0 %,84187.0,11.4%,BJP
282,Solan,HIMACHAL PRADESH,SHIMLA,SHIMLA,4.0,SC,Virender Kashyap,Bharatiya Janta Party,1153363.0,737757.0,64.0 %,84187.0,11.4%,BJP
283,Una,HIMACHAL PRADESH,HAMIRPUR,HAMIRPUR,3.0,GEN,Anurag Singh Thakur,Bharatiya Janta Party,1247699.0,835205.0,66.9 %,98403.0,11.8%,BJP
284,Anantnag,JAMMU AND KASHMIR,ANANTNAG,ANANTNAG,3.0,GEN,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023.0,375279.0,28.8 %,65417.0,17.4%,J&KPDP
